1631,중소기업부설연구소,콜마파마(주)제제연구소,서울특별시 서초구 헌릉로8길 61 한국콜마종합기술원 1층(내곡동),우경명,2015,총괄배정,서울
1654,중소기업부설연구소,(주)피엔이기술연구소,서울특별시 송파구 법원로11길  7 문정현대지식산업센터 C동 1001,1002호 (문정동),임현태,2017,총괄배정,서울
1764,중견기업부설연구소,스태츠칩팩코리아기술연구소,인천광역시 중구 자유무역로 191 3층,4층,김원규,2010,1,인천
1796,중소기업부설연구소,제이오부설기술연구소,경기도 안산시 단원구 엠티브이5로 26 시화MTV 7사 501호,강득주,1998,총괄배정,인천
1860,중소기업부설연구소,(주)모메드솔루션부설연구소,광주광역시 북구 첨단과기로 333 가전로봇센터 109-1호(대촌동,광주테크노파크),강수진,2014,총괄배정,전남
1943,방산연구기관,국가보안기술연구소,대전광역시 유성구 유성대로 1559(전민동),조현숙,2002,2,충남
1955,벤처기업부설연구소,(주)알티스트 기업부설연구소,대전광역시 서구 대덕대로 400 신주빌딩 702호(만년동),손동환,2016,총괄배정,충남
1963,벤처기업부설연구소,(주)딥센트 기업부설연구소,대전광역시 유성구 대학로 한국과학기술원E19나노종합기술원 9층,정기백,2019,총괄배정,충남
2015,벤처기업부설연구소,(주)토모큐브 R&D Center,대전광역시 유성구 유성대로1184번길 48 2층,홍기현,2018,총괄배정,충남
2026,벤처기업부설연구소,란드바이오사이언스(주)기업부설연구소,대전광역시 유성구 가정로 141 E3연구동 212호,김규찬,2018,총괄배정,충남
2030,벤처기업부설연구소,신코중앙연구소,대전광역시 유성구 대덕대로 746(화암동) 2층,최헌,1997,총괄배정,충남
2031,벤처기업부설연구소,심네트 M&S기술연구소,대전광역시 유성구 죽동로 157(죽동),차진섭,2014,총괄배정,충남
2052,벤처기업부설연구소,진바이오텍부설연구소,충청남도 공주시 계룡면 신원사로 166 7동 2층,이찬호,2011,총괄배정,충남
2150,중소기업부설연구소,삼영기계(주)부설삼영기술연구소,충청남도 공주시 월미농공단지길 39 사무동 2층 (월미동),한금태,2015,총괄배정,충남
2156,중소기업부설연구소,(주)덕산테코피아 기업부설연구소,충청남도 천안시 동남구 성남면 5산단3로  30천안사업장 2동 2층/3층,이수완,2017,총괄배정,충남
2157,중소기업부설연구소,(주)덕산테코피아 첨단소재연구소,충청남도 천안시 동남구 풍세면 풍세산단2로39 사무동 3층,이수완,2017,총괄배정,충남
2201,벤처기업부설연구소,(주)에어레인 부설연구소,충청북도 청주시 흥덕구 옥산면 과학산업4로151-5 2층,하성용,2019,총괄배정,충북
2211,벤처기업부설연구소,크로넥스(주) 기업부설연구소,충청북도 청주시 흥덕구 강내면 황탄리길 110크로넥스(주),손영준,2019,총괄배정,충북
